        TIME,  PDCSAP_FLUX
 131.5126461,2.5913195e+04
 131.5330808,2.5915332e+04
 131.5535154,2.5907639e+04
 131.5739499,2.5902520e+04
 131.5943844,2.5906201e+04
 131.6148191,2.5902490e+04
 131.6352536,2.5909361e+04
 131.6556882,2.5916225e+04
 131.6761229,2.5908504e+04
 131.6965575,2.5905768e+04
 131.7169920,2.5927418e+04
 131.7374265,2.5909277e+04
 131.7578612,2.5911162e+04
 131.7782957,2.5905154e+04
 131.7987303,2.5907441e+04
 131.8191650,2.5912467e+04
 131.8395995,2.5912129e+04
 131.8600341,2.5908691e+04
 131.8804686,2.5906893e+04
 131.9009032,2.5902533e+04
 131.9213378,2.5901025e+04
 131.9417724,2.5908807e+04
 131.9622070,2.5908588e+04
 131.9826416,2.5898688e+04
 132.0030762,2.5913809e+04
 132.0235106,2.5904895e+04
 132.0439453,2.5911293e+04
 132.0643799,2.5913971e+04
 132.0848144,2.5905322e+04
 132.1052490,2.5910922e+04
 132.1256837,2.5915250e+04
 132.1461181,2.5910852e+04
 132.1665527,2.5908799e+04
 132.1869874,2.5909004e+04
 132.2074220,2.5913664e+04
 132.2278565,2.5903377e+04
 132.2482911,2.5911818e+04
 132.2687257,2.5901141e+04
 132.2891602,2.5911236e+04
 132.3095948,2.5898539e+04
 132.3300295,2.5904689e+04
 132.3504640,2.5914160e+04
 132.3708985,2.5921752e+04
 132.3913331,2.5897508e+04
 132.4117677,2.5905906e+04
 132.4322023,2.5908547e+04
 132.4526369,2.5900789e+04
 132.4730716,2.5897305e+04
 132.4935060,2.5895908e+04
 132.5139406,2.5907336e+04
 132.5343751,2.5901162e+04
 132.5548098,2.5898174e+04
 132.5752444,2.5894969e+04
 132.5956788,2.5910473e+04
 132.6161135,2.5906867e+04
 132.6365481,2.5900381e+04
 132.6569827,2.5901547e+04
 132.6774172,2.5909338e+04
 132.6978519,2.5911477e+04
 132.7182864,2.5916182e+04
 132.7387209,2.5917695e+04
 132.7591556,2.5907264e+04
 132.7795902,2.5917443e+04
 132.8000247,2.5899920e+04
 132.8204592,2.5919775e+04
 132.8408939,2.5911268e+04
 132.8613284,2.5911131e+04
 132.8817630,2.5894205e+04
 132.9021977,2.5897686e+04
 132.9226321,2.5910963e+04
 132.9430667,2.5901971e+04
 132.9635013,2.5898717e+04
 132.9839360,2.5905436e+04
 133.0043704,2.5900229e+04
 133.0248050,2.5916285e+04
 133.0452396,2.5899314e+04
 133.0656742,2.5910727e+04
 133.0861088,2.5907482e+04
 133.1065433,2.5907086e+04
 133.1269779,2.5911920e+04
 133.1474125,2.5913578e+04
 133.1678471,2.5904426e+04
 133.1882817,2.5906039e+04
 133.2087163,2.5902484e+04
 133.2291508,2.5900127e+04
 133.2495854,2.5923629e+04
 133.2700200,2.5910895e+04
 133.2904545,2.5907621e+04
 133.3108891,2.5911789e+04
 133.3313236,2.5895389e+04
 133.3517583,2.5908812e+04
 133.3721928,2.5906002e+04
 133.3926274,2.5894432e+04
 133.4130620,2.5910709e+04
 133.4334966,2.5908248e+04
 133.4539312,2.5911367e+04
 133.4743656,2.5908666e+04
 133.4948003,2.5932752e+04
 133.5152349,2.5909912e+04
 133.5356694,2.5905674e+04
 133.5561040,2.5911389e+04
 133.5765386,2.5892588e+04
 133.5969731,2.5909410e+04
 133.6174077,2.5904090e+04
 133.6378423,2.5909064e+04
 133.6582769,2.5908031e+04
 133.6787114,2.5898682e+04
 133.6991461,2.5897656e+04
 133.7195806,2.5910090e+04
 133.7400151,2.5909791e+04
 133.7604497,2.5901293e+04
 133.7808844,2.5905729e+04
 133.8013188,2.5910785e+04
 133.8217534,2.5908254e+04
 133.8421880,2.5911814e+04
 133.8626226,2.5909525e+04
 133.8830571,2.5907109e+04
 133.9034917,2.5912324e+04
 133.9239263,2.5904273e+04
 133.9443609,2.5909385e+04
 133.9647954,2.5904576e+04
 133.9852299,2.5910377e+04
 134.0056646,2.5907227e+04
 134.0260991,2.5897363e+04
 134.0465336,2.5901090e+04
 134.0669683,2.5891598e+04
 134.0874029,2.5910004e+04
 134.1078373,2.5909877e+04
 134.1282719,2.5902438e+04
 134.1487066,2.5901699e+04
 134.1691412,2.5913547e+04
 134.1895756,2.5910010e+04
 134.2100103,2.5905264e+04
 134.2304449,2.5907707e+04
 134.2508793,2.5910531e+04
 134.2713139,2.5910910e+04
 134.2917486,2.5908604e+04
 134.3121831,2.5906670e+04
 134.3326176,2.5912139e+04
 134.3530523,2.5912443e+04
 134.3734868,2.5906367e+04
 134.3939213,         null
 134.4143559,2.5916035e+04
 134.4347905,2.5903670e+04
 134.4552251,2.5911807e+04
 134.4756596,2.5904896e+04
 134.4960943,2.5905141e+04
 134.5165288,2.5907980e+04
 134.5369633,2.5900543e+04
 134.5573978,2.5901520e+04
 134.5778325,2.5905844e+04
 134.5982671,2.5901928e+04
 134.6187015,2.5900848e+04
 134.6391361,2.5908795e+04
 134.6595708,2.5904459e+04
 134.6800053,2.5906344e+04
 134.7004399,2.5908307e+04
 134.7208745,2.5912711e+04
 134.7413090,2.5914248e+04
 134.7617435,2.5901887e+04
 134.7821781,2.5894771e+04
 134.8026127,2.5899467e+04
 134.8230473,2.5909418e+04
 134.8434818,2.5910717e+04
 134.8639165,2.5905785e+04
 134.8843510,2.5905871e+04
 134.9047856,2.5916482e+04
 134.9252201,2.5904023e+04
 134.9456547,2.5899807e+04
 134.9660893,2.5907910e+04
 134.9865238,2.5912162e+04
 135.0069584,2.5910689e+04
 135.0273930,2.5903219e+04
 135.0478275,2.5913342e+04
 135.0682620,2.5903314e+04
 135.0886967,2.5903414e+04
 135.1091312,2.5892951e+04
 135.1295657,2.5903654e+04
 135.1500004,2.5898889e+04
 135.1704350,2.5908330e+04
 135.1908694,2.5913725e+04
 135.2113040,2.5909648e+04
 135.2317387,2.5897082e+04
 135.2521731,2.5910105e+04
 135.2726077,2.5909744e+04
 135.2930422,2.5890996e+04
 135.3134768,2.5910203e+04
 135.3339114,2.5902785e+04
 135.3543459,2.5927988e+04
 135.3747805,2.5895480e+04
 135.3952151,2.5904844e+04
 135.4156497,2.5906525e+04
 135.4360841,2.5912818e+04
 135.4565188,2.5912684e+04
 135.4769533,2.5909658e+04
 135.4973878,2.5909848e+04
 135.5178225,2.5909676e+04
