        TIME,  PDCSAP_FLUX
 120.5395283,5.5769988e+04
 120.5599627,5.5743535e+04
 120.5803971,5.5751043e+04
 120.6008317,5.5747922e+04
 120.6212661,5.5743352e+04
 120.6417005,5.5755805e+04
 120.6621349,5.5750332e+04
 120.6825695,5.5751355e+04
 120.7030038,5.5752637e+04
 120.7234383,5.5746035e+04
 120.7438728,5.5741590e+04
 120.7643072,5.5749379e+04
 120.7847417,5.5751781e+04
 120.8051761,5.5751375e+04
 120.8256106,5.5749434e+04
 120.8460450,5.5743191e+04
 120.8664795,5.5745641e+04
 120.8869140,5.5744316e+04
 120.9073484,5.5756402e+04
 120.9277828,5.5744883e+04
 120.9482174,5.5748809e+04
 120.9686517,5.5743613e+04
 120.9890862,5.5749953e+04
 121.0095206,5.5734297e+04
 121.0299551,5.5743172e+04
 121.0503896,5.5741719e+04
 121.0708240,5.5739754e+04
 121.0912585,5.5748992e+04
 121.1116929,5.5746090e+04
 121.1321274,5.5739781e+04
 121.1525617,5.5751469e+04
 121.1729963,5.5732105e+04
 121.1934307,5.5740480e+04
 121.2138651,5.5717414e+04
 121.2342996,5.5716914e+04
 121.2547341,5.5716426e+04
 121.2751685,5.5723570e+04
 121.2956029,5.5732492e+04
 121.3160375,5.5754398e+04
 121.3364719,5.5727254e+04
 121.3569063,5.5740316e+04
 121.3773408,5.5741672e+04
 121.3977753,5.5747242e+04
 121.4182096,5.5744234e+04
 121.4386441,5.5736051e+04
 121.4590786,5.5735793e+04
 121.4795130,5.5736176e+04
 121.4999474,5.5730852e+04
 121.5203819,5.5738895e+04
 121.5408164,5.5742078e+04
 121.5612509,5.5744883e+04
 121.5816852,5.5717742e+04
 121.6021198,5.5730801e+04
 121.6225542,5.5732637e+04
 121.6429886,5.5740215e+04
 121.6634231,5.5738879e+04
 121.6838576,5.5732781e+04
 121.7042920,5.5740957e+04
 121.7247264,5.5718922e+04
 121.7451610,5.5748328e+04
 121.7655953,5.5731234e+04
 121.7860298,5.5734180e+04
 121.8064642,5.5733188e+04
 121.8268987,5.5733215e+04
 121.8473331,5.5730246e+04
 121.8677676,5.5729582e+04
 121.8882020,5.5727383e+04
 121.9086365,5.5736984e+04
 121.9290709,5.5724289e+04
 121.9495053,5.5742402e+04
 121.9699398,5.5744578e+04
 121.9903743,5.5726789e+04
 122.0108086,5.5741172e+04
 122.0312432,5.5742410e+04
 122.0516776,5.5729590e+04
 122.0721121,5.5742055e+04
 122.0925464,5.5731359e+04
 122.1129810,5.5743852e+04
 122.1334154,5.5725668e+04
 122.1538498,5.5740465e+04
 122.1742843,5.5725375e+04
 122.1947188,5.5730707e+04
 122.2151531,5.5722695e+04
 122.2355876,5.5730184e+04
 122.2560221,5.5745395e+04
 122.2764565,5.5744578e+04
 122.2968909,5.5750297e+04
 122.3173255,5.5723777e+04
 122.3377598,5.5741609e+04
 122.3581943,5.5736781e+04
 122.3786287,5.5738398e+04
 122.3990633,5.5731988e+04
 122.4194976,5.5739086e+04
 122.4399321,5.5729281e+04
 122.4603666,5.5738957e+04
 122.4808010,5.5718176e+04
 122.5012354,5.5734223e+04
 122.5216698,5.5735496e+04
 122.5421043,5.5744039e+04
 122.5625388,5.5749219e+04
 122.5829732,5.5739887e+04
 122.6034077,5.5741910e+04
 122.6238421,5.5743820e+04
 122.6442766,5.5736367e+04
 122.6647109,5.5721184e+04
 122.6851454,5.5733621e+04
 122.7055799,5.5745043e+04
 122.7260142,5.5745711e+04
 122.7464488,5.5732121e+04
 122.7668832,5.5735539e+04
 122.7873176,5.5729371e+04
 122.8077520,5.5738898e+04
 122.8281866,5.5741113e+04
 122.8486210,5.5736246e+04
 122.8690555,5.5749617e+04
 122.8894899,5.5746020e+04
 122.9099244,5.5730695e+04
 122.9303588,5.5740828e+04
 122.9507932,5.5739734e+04
 122.9712277,5.5731645e+04
 122.9916622,5.5743707e+04
 123.0120965,5.5739156e+04
 123.0325310,5.5751258e+04
 123.0529655,5.5741852e+04
 123.0733999,5.5735812e+04
 123.0938343,5.5731363e+04
 123.1142688,5.5739289e+04
 123.1347033,5.5741352e+04
 123.1551376,5.5740312e+04
 123.1755722,5.5736871e+04
 123.1960066,5.5734871e+04
 123.2164410,5.5735113e+04
 123.2368754,5.5735648e+04
 123.2573100,5.5744484e+04
 123.2777443,5.5747598e+04
 123.2981787,         null
 123.3186133,5.5746375e+04
 123.3390476,5.5728707e+04
 123.3594821,5.5736059e+04
 123.3799165,5.5736172e+04
 123.4003511,5.5745441e+04
 123.4207854,5.5746191e+04
 123.4412199,5.5734691e+04
 123.4616544,5.5737840e+04
 123.4820887,5.5730082e+04
 123.5025232,5.5734242e+04
 123.5229575,5.5739523e+04
 123.5433921,5.5738043e+04
 123.5638265,5.5725055e+04
 123.5842610,5.5733180e+04
 123.6046954,5.5733383e+04
 123.6251299,5.5745074e+04
 123.6455643,5.5743953e+04
 123.6659986,5.5716691e+04
 123.6864332,5.5747504e+04
 123.7068676,5.5727004e+04
 123.7273020,5.5733004e+04
 123.7477365,5.5725660e+04
 123.7681710,5.5741152e+04
 123.7886053,5.5741133e+04
 123.8090397,5.5730398e+04
 123.8294743,5.5731703e+04
 123.8499086,5.5732273e+04
 123.8703431,5.5752879e+04
 123.8907776,5.5747750e+04
 123.9112121,5.5737906e+04
 123.9316464,5.5724336e+04
 123.9520808,5.5743461e+04
 123.9725154,5.5715844e+04
 123.9929497,5.5716758e+04
 124.0133842,5.5713188e+04
 124.0338187,5.5715766e+04
 124.0542531,5.5740398e+04
 124.0746875,5.5735031e+04
 124.0951219,5.5733863e+04
 124.1155564,5.5727820e+04
 124.1359908,5.5727180e+04
 124.1564253,5.5737570e+04
 124.1768598,5.5736742e+04
 124.1972941,5.5741789e+04
 124.2177286,5.5737016e+04
 124.2381630,5.5720531e+04
 124.2585975,5.5748262e+04
 124.2790319,5.5741895e+04
 124.2994664,5.5743801e+04
 124.3199009,5.5749574e+04
 124.3403352,5.5746188e+04
 124.3607697,5.5751660e+04
 124.3812041,5.5743238e+04
 124.4016386,5.5729379e+04
 124.4220730,5.5746523e+04
 124.4425074,5.5740828e+04
 124.4629420,5.5764000e+04
 124.4833763,5.5739566e+04
 124.5038108,5.5739754e+04
 124.5242451,5.5750438e+04
 124.5446796,5.5726145e+04
 124.5651141,5.5744559e+04
 124.5855484,5.5752449e+04
 124.6059830,5.5738066e+04
 124.6264174,5.5745691e+04
 124.6468518,5.5745727e+04
 124.6672862,5.5738312e+04
 124.6877207,5.5735270e+04
 124.7081552,5.5737227e+04
 124.7285895,5.5746871e+04
 124.7490240,5.5730402e+04
 124.7694585,5.5740727e+04
 124.7898928,5.5745371e+04
 124.8103272,5.5748461e+04
 124.8307618,5.5731230e+04
 124.8511961,5.5742480e+04
 124.8716306,5.5746672e+04
 124.8920650,5.5750461e+04
 124.9124995,5.5725512e+04
 124.9329339,5.5748273e+04
 124.9533683,5.5749199e+04
 124.9738029,5.5740094e+04
 124.9942372,5.5737852e+04
 125.0146716,5.5738504e+04
 125.0351060,5.5747523e+04
 125.0555405,5.5725707e+04
 125.0759749,         null
 125.0964094,5.5743668e+04
 125.1168438,5.5748152e+04
 125.1372783,5.5746012e+04
 125.1577127,5.5750559e+04
 125.1781470,5.5746578e+04
 125.1985816,5.5737465e+04
 125.2190160,5.5745309e+04
 125.2394503,5.5743586e+04
 125.2598849,5.5740863e+04
 125.2803193,5.5764133e+04
 125.3007536,5.5739504e+04
 125.3211881,5.5734297e+04
 125.3416226,5.5726000e+04
 125.3620570,5.5742512e+04
 125.3824914,5.5736602e+04
 125.4029259,5.5741191e+04
 125.4233604,5.5758562e+04
 125.4437947,5.5744938e+04
 125.4642291,5.5744559e+04
 125.4846637,5.5751977e+04
 125.5050980,5.5734770e+04
 125.5255324,5.5743539e+04
 125.5459670,5.5747824e+04
 125.5664013,5.5731516e+04
 125.5868357,5.5744039e+04
 125.6072702,5.5744578e+04
 125.6277046,5.5751781e+04
 125.6481392,5.5746922e+04
 125.6685735,5.5741188e+04
 125.6890080,5.5744871e+04
 125.7094425,5.5743863e+04
 125.7298768,5.5734348e+04
 125.7503112,5.5738336e+04
 125.7707458,5.5739047e+04
 125.7911801,5.5731078e+04
 125.8116145,5.5740551e+04
 125.8320491,5.5725969e+04
 125.8524834,5.5739262e+04
 125.8729178,5.5753395e+04
 125.8933523,5.5737879e+04
 125.9137867,5.5732883e+04
 125.9342211,5.5744309e+04
 125.9546556,5.5737348e+04
 125.9750901,5.5743461e+04
 125.9955244,5.5738125e+04
 126.0159589,5.5744082e+04
 126.0363932,5.5745160e+04
 126.0568277,5.5742738e+04
 126.0772622,5.5732785e+04
 126.0976965,5.5734094e+04
 126.1181310,5.5746992e+04
 126.1385655,5.5740996e+04
 126.1589999,5.5732820e+04
