        TIME,  PDCSAP_FLUX
 539.4494611,         null
 539.4698955,2.0881244e+04
 539.4903298,2.0872697e+04
 539.5107641,2.0868646e+04
 539.5311983,2.0879359e+04
 539.5516326,2.0870725e+04
 539.5720670,2.0866660e+04
 539.5925012,2.0875184e+04
 539.6129354,2.0874701e+04
 539.6333698,2.0886980e+04
 539.6538040,2.0887438e+04
 539.6742383,2.0891268e+04
 539.6946727,2.0877572e+04
 539.7151069,2.0872951e+04
 539.7355411,2.0867379e+04
 539.7559755,2.0873602e+04
 539.7764098,2.0876311e+04
 539.7968439,2.0890227e+04
 539.8172783,2.0879342e+04
 539.8377125,2.0877342e+04
 539.8581469,2.0867428e+04
 539.8785812,2.0881406e+04
 539.8990153,2.0883975e+04
 539.9194497,2.0881541e+04
 539.9398840,2.0881418e+04
 539.9603182,2.0883834e+04
 539.9807525,2.0885100e+04
 540.0011868,2.0885760e+04
 540.0216210,2.0880295e+04
 540.0420554,2.0872926e+04
 540.0624897,2.0877191e+04
 540.0829239,2.0876709e+04
 540.1033582,2.0871812e+04
 540.1237925,2.0872004e+04
 540.1442269,2.0885252e+04
 540.1646610,2.0875838e+04
 540.1850953,2.0889117e+04
 540.2055297,2.0875311e+04
 540.2259640,2.0883748e+04
 540.2463981,2.0878594e+04
 540.2668325,2.0892180e+04
 540.2872668,2.0876688e+04
 540.3077010,2.0883836e+04
 540.3281353,2.0885900e+04
 540.3485696,2.0877521e+04
 540.3690038,2.0876648e+04
 540.3894382,2.0889287e+04
 540.4098724,2.0877580e+04
 540.4303066,2.0889277e+04
 540.4507410,2.0880002e+04
 540.4711752,2.0879309e+04
 540.4916095,2.0892002e+04
 540.5120438,2.0885861e+04
 540.5324780,2.0888633e+04
 540.5529124,2.0891119e+04
 540.5733466,2.0881281e+04
 540.5937809,2.0881570e+04
 540.6142152,2.0877855e+04
 540.6346494,2.0882648e+04
 540.6550837,2.0884480e+04
 540.6755180,2.0898295e+04
 540.6959523,2.0882844e+04
 540.7163865,2.0881922e+04
 540.7368209,2.0886730e+04
 540.7572551,2.0877598e+04
 540.7776894,2.0889447e+04
 540.7981237,2.0873139e+04
 540.8185579,2.0893906e+04
 540.8389923,2.0871736e+04
 540.8594265,2.0877646e+04
 540.8798607,2.0877342e+04
 540.9002951,2.0876566e+04
 540.9207293,2.0885186e+04
 540.9411635,2.0887775e+04
 540.9615979,2.0884945e+04
 540.9820321,2.0894256e+04
 541.0024663,2.0895398e+04
 541.0229007,2.0880104e+04
 541.0433350,2.0893188e+04
 541.0637693,2.0887656e+04
 541.0842035,2.0879832e+04
 541.1046378,         null
 541.1250720,2.0879289e+04
 541.1455063,2.0881080e+04
 541.1659406,2.0868592e+04
 541.1863748,2.0896508e+04
 541.2068091,2.0888158e+04
 541.2272434,2.0885877e+04
 541.2476776,2.0875637e+04
 541.2681119,2.0876754e+04
 541.2885462,2.0885424e+04
 541.3089805,2.0877094e+04
 541.3294147,2.0878459e+04
 541.3498491,2.0892656e+04
 541.3702833,2.0880719e+04
 541.3907175,2.0889605e+04
 541.4111519,2.0880117e+04
 541.4315861,2.0884934e+04
 541.4520203,2.0893619e+04
 541.4724547,2.0885123e+04
 541.4928889,2.0887287e+04
 541.5133231,2.0879744e+04
 541.5337575,2.0887936e+04
 541.5541917,2.0896986e+04
 541.5746260,2.0873537e+04
 541.5950603,2.0885016e+04
 541.6154945,2.0885434e+04
 541.6359288,2.0879982e+04
 541.6563631,2.0882418e+04
 541.6767973,2.0895844e+04
 541.6972317,2.0896602e+04
 541.7176659,2.0886062e+04
 541.7381001,2.0872203e+04
 541.7585345,2.0886861e+04
 541.7789687,2.0879504e+04
 541.7994029,2.0890434e+04
 541.8198373,2.0880580e+04
 541.8402714,2.0894062e+04
 541.8607057,2.0888039e+04
 541.8811401,2.0879854e+04
 541.9015742,2.0889109e+04
 541.9220085,2.0887271e+04
 541.9424428,2.0896746e+04
 541.9628770,2.0885957e+04
 541.9833114,2.0875811e+04
 542.0037456,2.0890551e+04
 542.0241798,2.0881639e+04
 542.0446142,2.0877289e+04
 542.0650484,2.0891586e+04
 542.0854826,2.0883057e+04
 542.1059169,2.0890182e+04
 542.1263512,2.0881746e+04
 542.1467855,2.0891848e+04
 542.1672197,2.0894928e+04
 542.1876540,2.0884912e+04
 542.2080882,2.0883967e+04
 542.2285226,2.0880012e+04
 542.2489568,2.0891764e+04
 542.2693911,2.0888965e+04
 542.2898254,2.0885805e+04
 542.3102595,2.0878203e+04
 542.3306939,2.0880828e+04
 542.3511282,2.0881100e+04
 542.3715623,2.0880881e+04
 542.3919967,2.0887074e+04
 542.4124309,2.0889881e+04
 542.4328651,2.0886383e+04
 542.4532995,2.0887732e+04
 542.4737337,2.0877162e+04
 542.4941679,2.0884646e+04
 542.5146022,2.0882576e+04
 542.5350364,2.0879133e+04
 542.5554707,2.0890174e+04
 542.5759050,2.0879871e+04
 542.5963392,2.0883412e+04
 542.6167735,2.0889732e+04
 542.6372078,2.0880258e+04
 542.6576420,2.0888453e+04
 542.6780763,2.0876709e+04
 542.6985105,2.0886654e+04
 542.7189448,2.0882086e+04
 542.7393791,2.0882588e+04
 542.7598133,2.0879986e+04
 542.7802476,2.0886484e+04
 542.8006819,2.0875734e+04
 542.8211161,2.0881547e+04
 542.8415503,2.0906678e+04
 542.8619847,2.0881021e+04
 542.8824188,2.0886543e+04
 542.9028532,2.0885834e+04
 542.9232875,2.0883299e+04
 542.9437216,2.0880232e+04
 542.9641560,2.0880625e+04
 542.9845902,2.0888803e+04
 543.0050244,2.0875553e+04
 543.0254587,2.0903338e+04
 543.0458930,2.0891352e+04
 543.0663272,2.0900869e+04
