        TIME,  PDCSAP_FLUX
 539.4497871,         null
 539.4702213,3.6001691e+05
 539.4906553,3.6001997e+05
 539.5110895,3.6001694e+05
 539.5315234,3.6002253e+05
 539.5519575,3.6002506e+05
 539.5723916,3.6002266e+05
 539.5928256,3.6002250e+05
 539.6132597,3.6002338e+05
 539.6336938,3.6003312e+05
 539.6541278,3.6001597e+05
 539.6745618,3.6003134e+05
 539.6949960,3.6002475e+05
 539.7154301,3.6002453e+05
 539.7358640,3.6005094e+05
 539.7562982,3.6003009e+05
 539.7767322,3.6002928e+05
 539.7971662,3.6002281e+05
 539.8176003,3.6001822e+05
 539.8380343,3.6003809e+05
 539.8584684,3.6001331e+05
 539.8789025,3.6001203e+05
 539.8993365,3.6003209e+05
 539.9197706,3.6002397e+05
 539.9402047,3.6002012e+05
 539.9606386,3.6003916e+05
 539.9810728,3.6003997e+05
 540.0015068,3.6003628e+05
 540.0219408,3.6004072e+05
 540.0423749,3.6006038e+05
 540.0628090,3.6004941e+05
 540.0832430,3.6004134e+05
 540.1036771,3.6002619e+05
 540.1241111,3.6004238e+05
 540.1445453,3.6005034e+05
 540.1649793,3.6005481e+05
 540.1854133,3.6004700e+05
 540.2058475,3.6004447e+05
 540.2262815,3.6003753e+05
 540.2467155,3.6004781e+05
 540.2671496,3.6004597e+05
 540.2875837,3.6004881e+05
 540.3080176,3.6004950e+05
 540.3284518,3.6004812e+05
 540.3488858,3.6003669e+05
 540.3693198,3.6004428e+05
 540.3897539,3.6004822e+05
 540.4101880,3.6004672e+05
 540.4306219,3.6005434e+05
 540.4510561,3.6004259e+05
 540.4714900,3.6006706e+05
 540.4919242,3.6004597e+05
 540.5123582,3.6004459e+05
 540.5327922,3.6006175e+05
 540.5532263,3.6003981e+05
 540.5736604,3.6003578e+05
 540.5940944,3.6004234e+05
 540.6145285,3.6005359e+05
 540.6349625,3.6005228e+05
 540.6553966,3.6003959e+05
 540.6758306,3.6004050e+05
 540.6962647,3.6004675e+05
 540.7166987,3.6003206e+05
 540.7371329,3.6003678e+05
 540.7575668,3.6004841e+05
 540.7780009,3.6005391e+05
 540.7984350,3.6004434e+05
 540.8188689,3.6004041e+05
 540.8393031,3.6004350e+05
 540.8597371,3.6005872e+05
 540.8801711,3.6003703e+05
 540.9006052,3.6005728e+05
 540.9210393,3.6006441e+05
 540.9414732,3.6004553e+05
 540.9619074,3.6005306e+05
 540.9823414,3.6005069e+05
 541.0027753,3.6005781e+05
 541.0232095,3.6006234e+05
 541.0436435,3.6006038e+05
 541.0640777,3.6004188e+05
 541.0845116,3.6005103e+05
 541.1049457,         null
 541.1253797,3.6005981e+05
 541.1458138,3.6005466e+05
 541.1662478,3.6005456e+05
 541.1866818,3.6003997e+05
 541.2071159,3.6004994e+05
 541.2275499,3.6002831e+05
 541.2479840,3.6005919e+05
 541.2684180,3.6004794e+05
 541.2888521,3.6005162e+05
 541.3092862,3.6004331e+05
 541.3297201,3.6004253e+05
 541.3501543,3.6004147e+05
 541.3705883,3.6005009e+05
 541.3910223,3.6003978e+05
 541.4114564,3.6004462e+05
 541.4318905,3.6006291e+05
 541.4523244,3.6005231e+05
 541.4727585,3.6005209e+05
 541.4931926,3.6006053e+05
 541.5136265,3.6005512e+05
 541.5340607,3.6005547e+05
 541.5544947,3.6005550e+05
 541.5749287,3.6005806e+05
 541.5953628,3.6003988e+05
 541.6157968,3.6005072e+05
 541.6362309,3.6005850e+05
 541.6566649,3.6004041e+05
 541.6770989,3.6004472e+05
 541.6975331,3.6004131e+05
 541.7179670,3.6005325e+05
 541.7384010,3.6004706e+05
 541.7588352,3.6003616e+05
 541.7792692,3.6004972e+05
 541.7997032,3.6004369e+05
 541.8201373,3.6005531e+05
 541.8405712,3.6003434e+05
 541.8610053,3.6003791e+05
 541.8814394,3.6005366e+05
 541.9018733,3.6002906e+05
 541.9223074,3.6003759e+05
 541.9427415,3.6004572e+05
 541.9631755,3.6004278e+05
 541.9836096,3.6005131e+05
 542.0040436,3.6005162e+05
 542.0244776,3.6004422e+05
 542.0449117,3.6004866e+05
 542.0653457,3.6004662e+05
 542.0857797,3.6003541e+05
 542.1062138,3.6004084e+05
 542.1266478,3.6005525e+05
 542.1470819,3.6005578e+05
 542.1675159,3.6006319e+05
 542.1879499,3.6004872e+05
 542.2083840,3.6005825e+05
 542.2288181,3.6004928e+05
 542.2492520,3.6004619e+05
 542.2696862,3.6004578e+05
 542.2901202,3.6004153e+05
 542.3105541,3.6005850e+05
 542.3309883,3.6005431e+05
