        TIME,  PDCSAP_FLUX
 539.4499372,         null
 539.4703713,8.7095576e+03
 539.4908053,8.6990537e+03
 539.5112393,8.7020273e+03
 539.5316732,8.7118975e+03
 539.5521071,8.7032568e+03
 539.5725412,8.7058477e+03
 539.5929750,8.7044678e+03
 539.6134090,8.7121172e+03
 539.6338430,8.7054424e+03
 539.6542769,8.7015361e+03
 539.6747108,8.7064717e+03
 539.6951449,8.7039492e+03
 539.7155788,8.7055938e+03
 539.7360127,8.7100703e+03
 539.7564467,8.7099600e+03
 539.7768807,8.7143799e+03
 539.7973145,8.7158135e+03
 539.8177486,8.7105469e+03
 539.8381825,8.7139150e+03
 539.8586165,8.7125898e+03
 539.8790505,8.7056162e+03
 539.8994843,8.7011934e+03
 539.9199184,8.6982021e+03
 539.9403523,8.7315332e+03
 539.9607862,8.7051523e+03
 539.9812202,8.6951562e+03
 540.0016542,8.7097588e+03
 540.0220880,8.7132334e+03
 540.0425221,8.7088154e+03
 540.0629560,8.7104199e+03
 540.0833899,8.7045000e+03
 540.1038239,8.7156514e+03
 540.1242578,8.7050234e+03
 540.1446919,8.7137451e+03
 540.1651257,8.7085674e+03
 540.1855597,8.7122979e+03
 540.2059937,8.7048789e+03
 540.2264277,8.7021553e+03
 540.2468615,8.7073906e+03
 540.2672956,8.7034316e+03
 540.2877295,8.6976035e+03
 540.3081634,8.7035146e+03
 540.3285974,8.7031445e+03
 540.3490314,8.7011924e+03
 540.3694652,8.7091748e+03
 540.3898993,8.7106123e+03
 540.4103332,8.7098516e+03
 540.4307670,8.7059053e+03
 540.4512011,8.7092451e+03
 540.4716349,8.7211924e+03
 540.4920690,8.7141943e+03
 540.5125029,8.7021348e+03
 540.5329368,8.7068770e+03
 540.5533708,8.7110713e+03
 540.5738048,8.7089473e+03
 540.5942387,8.7112100e+03
 540.6146726,8.7078516e+03
 540.6351066,8.7005098e+03
 540.6555405,8.7034326e+03
 540.6759745,8.7113779e+03
 540.6964084,8.7045938e+03
 540.7168424,8.7128857e+03
 540.7372764,8.7037520e+03
 540.7577102,8.7148379e+03
 540.7781443,8.7121670e+03
 540.7985782,8.7121943e+03
 540.8190121,8.7068203e+03
 540.8394461,8.7099717e+03
 540.8598800,8.7065713e+03
 540.8803139,8.7094229e+03
 540.9007479,8.7062197e+03
 540.9211819,8.7087178e+03
 540.9416157,8.7059502e+03
 540.9620497,8.7151504e+03
 540.9824837,8.7149756e+03
 541.0029175,8.7165566e+03
 541.0233516,8.7096455e+03
 541.0437855,8.7042129e+03
 541.0642195,8.7077070e+03
 541.0846534,8.7082725e+03
 541.1050873,         null
 541.1255213,8.7119170e+03
 541.1459552,8.7034248e+03
 541.1663891,8.7065830e+03
 541.1868231,8.7020156e+03
 541.2072570,8.7120107e+03
 541.2276909,8.7042939e+03
 541.2481249,8.7069365e+03
 541.2685588,8.7063281e+03
 541.2889928,8.7087158e+03
 541.3094268,8.7142764e+03
 541.3298606,8.7110312e+03
 541.3502947,8.7067842e+03
 541.3707286,8.7088271e+03
 541.3911624,8.7119209e+03
 541.4115965,8.7070908e+03
 541.4320304,8.7075166e+03
 541.4524642,8.7113594e+03
 541.4728983,8.7044043e+03
 541.4933322,8.7061006e+03
 541.5137660,8.7092422e+03
 541.5342001,8.7107783e+03
 541.5546340,8.7086270e+03
 541.5750679,8.7093701e+03
 541.5955019,8.7075137e+03
 541.6159358,8.7153896e+03
 541.6363697,8.7072246e+03
 541.6568037,8.7063389e+03
 541.6772376,8.7101797e+03
 541.6976716,8.7055879e+03
 541.7181055,8.7018301e+03
 541.7385394,8.7062119e+03
 541.7589734,8.7055479e+03
 541.7794074,8.7153408e+03
 541.7998412,8.7065127e+03
 541.8202752,8.7041826e+03
 541.8407091,8.7065615e+03
 541.8611430,8.7031582e+03
 541.8815770,8.7106338e+03
 541.9020109,8.7034102e+03
 541.9224448,8.7034131e+03
 541.9428788,8.7104473e+03
 541.9633126,8.7093203e+03
 541.9837467,8.7052178e+03
 542.0041806,8.7129287e+03
 542.0246144,8.7040088e+03
 542.0450485,8.7156396e+03
 542.0654824,8.7114453e+03
 542.0859162,8.7052422e+03
 542.1063502,8.6993018e+03
 542.1267842,8.7127227e+03
 542.1472181,8.6996562e+03
 542.1676520,8.7080947e+03
 542.1880860,8.7107695e+03
 542.2085199,8.7143984e+03
 542.2289539,8.7028291e+03
 542.2493877,8.7115137e+03
 542.2698218,8.7097041e+03
 542.2902557,8.7114609e+03
 542.3106895,8.7164756e+03
 542.3311235,8.7102656e+03
 542.3515575,8.7092383e+03
 542.3719913,8.7035527e+03
 542.3924253,8.7194814e+03
 542.4128592,8.7060459e+03
 542.4332931,8.7114189e+03
 542.4537271,8.7101758e+03
 542.4741610,8.7018047e+03
 542.4945948,8.7105635e+03
 542.5150289,8.7066133e+03
 542.5354627,8.7039756e+03
 542.5558967,8.7113203e+03
 542.5763306,8.7044697e+03
 542.5967645,8.7124590e+03
 542.6171985,8.7110957e+03
 542.6376324,8.7181514e+03
 542.6580663,8.7059668e+03
 542.6785003,8.7155508e+03
 542.6989342,8.7103516e+03
 542.7193681,8.7052451e+03
 542.7398020,8.7145361e+03
 542.7602359,8.7067344e+03
 542.7806699,8.7088027e+03
 542.8011039,8.7043623e+03
 542.8215377,8.7082383e+03
 542.8419716,8.7116426e+03
 542.8624057,8.7025723e+03
 542.8828395,8.7150488e+03
 542.9032735,8.7180557e+03
 542.9237074,8.7112334e+03
 542.9441412,8.7186670e+03
 542.9645753,8.7022100e+03
 542.9850092,8.7174248e+03
 543.0054430,8.7084531e+03
 543.0258770,8.7226348e+03
 543.0463109,8.7106182e+03
 543.0667448,8.7101689e+03
 543.0871788,8.7141963e+03
 543.1076127,8.7073643e+03
 543.1280466,8.7074395e+03
 543.1484805,8.7080430e+03
 543.1689144,8.7151152e+03
 543.1893484,8.7014834e+03
 543.2097823,8.7083271e+03
 543.2302162,8.7042520e+03
 543.2506501,8.7082627e+03
 543.2710840,8.7058545e+03
 543.2915179,8.7259639e+03
 543.3119520,8.7100674e+03
 543.3323858,8.7044023e+03
 543.3528197,8.7206934e+03
 543.3732537,8.7181299e+03
