        TIME,  PDCSAP_FLUX
 539.4498258,         null
 539.4702600,1.7683047e+04
 539.4906940,1.7693688e+04
 539.5111282,1.7683328e+04
 539.5315622,1.7682791e+04
 539.5519963,1.7675490e+04
 539.5724304,1.7673602e+04
 539.5928644,1.7672229e+04
 539.6132985,1.7677715e+04
 539.6337326,1.7682564e+04
 539.6541666,1.7666969e+04
 539.6746007,1.7677264e+04
 539.6950348,1.7671232e+04
 539.7154689,1.7672760e+04
 539.7359029,1.7666408e+04
 539.7563370,1.7675381e+04
 539.7767711,1.7672684e+04
 539.7972051,1.7673760e+04
 539.8176392,1.7664908e+04
 539.8380732,1.7662336e+04
 539.8585074,1.7657369e+04
 539.8789414,1.7668365e+04
 539.8993754,1.7665768e+04
 539.9198096,1.7658381e+04
 539.9402436,1.7669346e+04
 539.9606776,1.7666301e+04
 539.9811118,1.7665154e+04
 540.0015458,1.7659275e+04
 540.0219798,1.7659135e+04
 540.0424139,1.7655795e+04
 540.0628480,1.7665334e+04
 540.0832821,1.7652361e+04
 540.1037161,1.7651600e+04
 540.1241502,1.7660604e+04
 540.1445844,1.7650340e+04
 540.1650183,1.7656023e+04
 540.1854524,1.7659553e+04
 540.2058866,1.7652043e+04
 540.2263206,1.7651166e+04
 540.2467546,1.7653346e+04
 540.2671887,1.7644789e+04
 540.2876228,1.7655086e+04
 540.3080568,1.7647975e+04
 540.3284909,1.7656525e+04
 540.3489250,1.7651510e+04
 540.3693589,1.7654080e+04
 540.3897931,1.7655096e+04
 540.4102272,1.7648703e+04
 540.4306611,1.7651086e+04
 540.4510953,1.7660131e+04
 540.4715293,1.7652607e+04
 540.4919634,1.7645812e+04
 540.5123975,1.7645773e+04
 540.5328314,1.7650670e+04
 540.5532656,1.7644064e+04
 540.5736996,1.7637662e+04
 540.5941337,1.7646180e+04
 540.6145678,1.7643691e+04
 540.6350018,1.7643955e+04
 540.6554359,1.7643252e+04
 540.6758699,1.7644311e+04
 540.6963040,1.7652922e+04
 540.7167381,1.7645383e+04
 540.7371722,1.7645096e+04
 540.7576062,1.7636428e+04
 540.7780403,1.7640348e+04
 540.7984744,1.7641186e+04
 540.8189083,1.7641965e+04
 540.8393425,1.7651340e+04
 540.8597766,1.7645936e+04
 540.8802105,1.7636189e+04
 540.9006447,1.7641465e+04
 540.9210787,1.7636340e+04
 540.9415127,1.7634340e+04
 540.9619468,1.7638227e+04
 540.9823809,1.7639521e+04
 541.0028149,1.7636506e+04
 541.0232490,1.7633434e+04
 541.0436831,1.7633414e+04
 541.0641172,1.7632377e+04
 541.0845512,1.7642369e+04
 541.1049852,         null
 541.1254193,1.7635504e+04
 541.1458533,1.7632928e+04
 541.1662874,1.7634496e+04
 541.1867214,1.7634801e+04
 541.2071555,1.7634742e+04
 541.2275895,1.7631182e+04
 541.2480236,1.7629426e+04
 541.2684577,1.7630738e+04
 541.2888917,1.7633936e+04
 541.3093259,1.7626746e+04
 541.3297598,1.7638533e+04
 541.3501940,1.7628223e+04
 541.3706280,1.7628229e+04
 541.3910620,1.7633172e+04
 541.4114961,1.7632211e+04
 541.4319302,1.7634236e+04
 541.4523641,1.7630656e+04
 541.4727983,1.7631900e+04
 541.4932323,1.7635666e+04
 541.5136663,1.7622422e+04
 541.5341004,1.7630059e+04
 541.5545345,1.7626311e+04
 541.5749685,1.7628930e+04
