        TIME,  PDCSAP_FLUX
 539.4498122,         null
 539.4702464,1.9423514e+04
 539.4906805,1.9426031e+04
 539.5111146,1.9430719e+04
 539.5315486,1.9413922e+04
 539.5519827,1.9415906e+04
 539.5724168,1.9415799e+04
 539.5928508,1.9424104e+04
 539.6132849,1.9422709e+04
 539.6337190,1.9412924e+04
 539.6541530,1.9428689e+04
 539.6745871,1.9417498e+04
 539.6950212,1.9417504e+04
 539.7154553,1.9428801e+04
 539.7358893,1.9418629e+04
 539.7563235,1.9414221e+04
 539.7767575,1.9427914e+04
 539.7971915,1.9417963e+04
 539.8176257,1.9419279e+04
 539.8380596,1.9422277e+04
 539.8584938,1.9423875e+04
 539.8789279,1.9416826e+04
 539.8993618,1.9429240e+04
 539.9197960,1.9416965e+04
 539.9402301,1.9413818e+04
 539.9606640,1.9419125e+04
 539.9810982,1.9427918e+04
 540.0015323,1.9431371e+04
 540.0219662,1.9427115e+04
 540.0424004,1.9426994e+04
 540.0628345,1.9422842e+04
 540.0832685,1.9417334e+04
 540.1037026,1.9483482e+04
 540.1241367,1.9417084e+04
 540.1445708,1.9424701e+04
 540.1650048,1.9426344e+04
 540.1854388,1.9425275e+04
 540.2058730,1.9413213e+04
 540.2263071,1.9420982e+04
 540.2467410,1.9420615e+04
 540.2671752,1.9417973e+04
 540.2876093,1.9427275e+04
 540.3080432,1.9420348e+04
 540.3284774,1.9435439e+04
 540.3489115,1.9418117e+04
 540.3693454,1.9418574e+04
 540.3897796,1.9417213e+04
 540.4102136,1.9423615e+04
 540.4306476,1.9416406e+04
 540.4510818,1.9422043e+04
 540.4715157,1.9417775e+04
 540.4919499,1.9425324e+04
 540.5123839,1.9419914e+04
 540.5328179,1.9426840e+04
 540.5532521,1.9425516e+04
 540.5736861,1.9416418e+04
 540.5941202,1.9418158e+04
 540.6145543,1.9422775e+04
 540.6349883,1.9416494e+04
 540.6554224,1.9428443e+04
 540.6758564,1.9419336e+04
 540.6962905,1.9414150e+04
 540.7167246,1.9420682e+04
 540.7371587,1.9418848e+04
 540.7575927,1.9435928e+04
 540.7780268,1.9421291e+04
 540.7984609,1.9421668e+04
 540.8188948,1.9420090e+04
 540.8393290,1.9422148e+04
 540.8597631,1.9413658e+04
 540.8801970,1.9415465e+04
 540.9006312,1.9413537e+04
 540.9210652,1.9422877e+04
 540.9414992,1.9421096e+04
 540.9619334,1.9416998e+04
 540.9823674,1.9436273e+04
 541.0028014,1.9433805e+04
 541.0232355,1.9424279e+04
 541.0436696,1.9432316e+04
 541.0641037,1.9414572e+04
 541.0845377,1.9430990e+04
 541.1049717,         null
 541.1254058,1.9408012e+04
 541.1458399,1.9426633e+04
 541.1662739,1.9419814e+04
 541.1867080,1.9412750e+04
 541.2071420,1.9418996e+04
 541.2275761,1.9420340e+04
 541.2480101,1.9422244e+04
 541.2684442,1.9417732e+04
 541.2888782,1.9419750e+04
 541.3093124,1.9427572e+04
 541.3297463,1.9419090e+04
 541.3501805,1.9413219e+04
 541.3706146,1.9412352e+04
 541.3910485,1.9413318e+04
 541.4114827,1.9412900e+04
 541.4319167,1.9420480e+04
 541.4523507,1.9416861e+04
 541.4727848,1.9411160e+04
 541.4932189,1.9419592e+04
 541.5136528,1.9423973e+04
 541.5340870,1.9426041e+04
 541.5545210,1.9420666e+04
 541.5749551,1.9417855e+04
 541.5953891,1.9427879e+04
 541.6158232,1.9416941e+04
 541.6362572,1.9418158e+04
 541.6566913,1.9424096e+04
 541.6771253,1.9428482e+04
 541.6975595,1.9409008e+04
 541.7179934,1.9427496e+04
 541.7384275,1.9423906e+04
 541.7588616,1.9422092e+04
 541.7792957,1.9429588e+04
 541.7997296,1.9421711e+04
 541.8201638,1.9414176e+04
 541.8405977,1.9431738e+04
 541.8610318,1.9418105e+04
 541.8814659,1.9416908e+04
 541.9018999,1.9415355e+04
 541.9223339,1.9429555e+04
 541.9427681,1.9414965e+04
 541.9632020,1.9422393e+04
 541.9836362,1.9419795e+04
 542.0040702,1.9420121e+04
 542.0245042,1.9419250e+04
 542.0449383,1.9419295e+04
 542.0653724,1.9412021e+04
 542.0858063,1.9417414e+04
 542.1062404,1.9417443e+04
 542.1266745,1.9390088e+04
 542.1471085,1.9414996e+04
 542.1675426,1.9433768e+04
 542.1879766,1.9423336e+04
 542.2084107,1.9421914e+04
 542.2288448,1.9424578e+04
 542.2492788,1.9422645e+04
 542.2697129,1.9422055e+04
 542.2901470,1.9419275e+04
 542.3105809,1.9422730e+04
 542.3310150,1.9418840e+04
 542.3514491,1.9419990e+04
 542.3718830,1.9422014e+04
 542.3923172,1.9421248e+04
 542.4127512,1.9417852e+04
 542.4331852,1.9425074e+04
 542.4536193,1.9410373e+04
